主款標記,StyleBookID,貼標款,顏色,貼標SKU,款主圖,分色主圖,平拍圖
1,2022072033745392,AB17280,黑,AB17280-1-S,https://image.obdesign.com.tw/catalog/products/AB17280/AB17280@1.jpg,https://image.obdesign.com.tw/catalog/products/AB17280/AB17280@CB-1-1.jpg,https://image.obdesign.com.tw/catalog/products/AB17280/AB17280@CB-T4-2C9C65F95D442B6A397E.png
0,2022072033745392,BA4900,花灰,BA4900-2-S,https://image.obdesign.com.tw/catalog/products/AB17280/AB17280@1.jpg,https://image.obdesign.com.tw/catalog/products/BA4900/BA4900@CB-2-1.jpg,https://image.obdesign.com.tw/catalog/products/BA4900/BA4900@CB-T4-31B85C18E1A4DB488803.png
0,2022072033745392,ZC2675,銀,ZC2675-2-F,https://image.obdesign.com.tw/catalog/products/AB17280/AB17280@1.jpg,https://image.obdesign.com.tw/catalog/products/ZC2675/ZC2675@CB-2-1.jpg,
1,2022072044824423,BA6797,丹寧藍,BA6797-2-S,https://image.obdesign.com.tw/catalog/products/BA6797/BA6797@1.jpg,https://image.obdesign.com.tw/catalog/products/BA6797/BA6797@CB-2-1.jpg,https://image.obdesign.com.tw/catalog/products/BA6797/BA6797@CB-T4-E79BF882FD14D58A86E8.png
1,2022072087258028,DA9378,黑,DA9378-2-S,https://image.obdesign.com.tw/catalog/products/DA9378/DA9378@1.jpg,https://image.obdesign.com.tw/catalog/products/DA9378/DA9378@CB-2-1.jpg,https://image.obdesign.com.tw/catalog/products/DA9378/DA9378@CB-T4-8435CF689B941F1B05E0.png
0,2022072087258028,EA3351,白,EA3351-2-S,https://image.obdesign.com.tw/catalog/products/DA9378/DA9378@1.jpg,https://image.obdesign.com.tw/catalog/products/EA3351/EA3351@CB-2-1.jpg,https://image.obdesign.com.tw/catalog/products/EA3351/EA3351@CB-T4-DB5BB2602A4486BA5222.png
0,2022072087258028,ZC2674,金,ZC2674-1-F,https://image.obdesign.com.tw/catalog/products/DA9378/DA9378@1.jpg,https://image.obdesign.com.tw/catalog/products/ZC2674/ZC2674@CB-1-1.jpg,
1,2022072296477593,AB17462,薄荷綠,AB17462-2-S,https://image.obdesign.com.tw/catalog/products/AB17462/AB17462@1.jpg,https://image.obdesign.com.tw/catalog/products/AB17462/AB17462@CB-1-1.jpg,https://image.obdesign.com.tw/catalog/products/AB17462/AB17462@CB-T4-59FFC636245491994A31.png
0,2022072296477593,BA6795,深灰藍,BA6795-1-S,https://image.obdesign.com.tw/catalog/products/AB17462/AB17462@1.jpg,https://image.obdesign.com.tw/catalog/products/BA6795/BA6795@CB-1-1.jpg,https://image.obdesign.com.tw/catalog/products/BA6795/BA6795@CB-T4-02BFC0971384D47AA23F.png
1,2022072513633213,AB17528,粉紅,AB17528-2-S,https://image.obdesign.com.tw/catalog/products/AB17528/AB17528@1.jpg,https://image.obdesign.com.tw/catalog/products/AB17528/AB17528@CB-2-1.jpg,https://image.obdesign.com.tw/catalog/products/AB17528/AB17528@CB-T4-52E67DD81264F22B349E.png
0,2022072513633213,BA2258,白,BA2258-1-S,https://image.obdesign.com.tw/catalog/products/AB17528/AB17528@1.jpg,https://image.obdesign.com.tw/catalog/products/BA2258/BA2258@CB-1-1.jpg,
1,2022072518865159,DA9391,深藍,DA9391-2-S,https://image.obdesign.com.tw/catalog/products/DA9391/DA9391@1.jpg,https://image.obdesign.com.tw/catalog/products/DA9391/DA9391@CB-2-1.jpg,https://image.obdesign.com.tw/catalog/products/DA9391/DA9391@CB-T4-20E960BE02A455DB1C47.png
1,2022072521726435,DA9390,乾燥玫瑰,DA9390-1-S,https://image.obdesign.com.tw/catalog/products/DA9390/DA9390@1.jpg,https://image.obdesign.com.tw/catalog/products/DA9390/DA9390@CB-1-1.jpg,https://image.obdesign.com.tw/catalog/products/DA9390/DA9390@CB-T4-A53B0377BD14C699728D.png
1,2022072525766492,DA9347,淺丹寧藍,DA9347-1-S,https://image.obdesign.com.tw/catalog/products/DA9347/DA9347@1.jpg,https://image.obdesign.com.tw/catalog/products/DA9347/DA9347@CB-1-1.jpg,https://image.obdesign.com.tw/catalog/products/DA9347/DA9347@CB-T4-1119ABD029C43E2ACA8B.png
0,2022072525766492,AB17288,白,AB17288-1-S,https://image.obdesign.com.tw/catalog/products/DA9347/DA9347@1.jpg,https://image.obdesign.com.tw/catalog/products/AB17288/AB17288@CB-1-1.jpg,https://image.obdesign.com.tw/catalog/products/AB17288/AB17288@CB-T4-9ABCB826CC94CAAA1C75.png
1,2022072541081016,AB17480,淺丹寧藍,AB17480-1-S,https://image.obdesign.com.tw/catalog/products/AB17480/AB17480@1.jpg,https://image.obdesign.com.tw/catalog/products/AB17480/AB17480@CB-1-1.jpg,https://image.obdesign.com.tw/catalog/products/AB17480/AB17480@CB-T4-C555B89434F4A7A95A93.png
0,2022072541081016,BA6428,白,BA6428-2-S,https://image.obdesign.com.tw/catalog/products/AB17480/AB17480@1.jpg,https://image.obdesign.com.tw/catalog/products/BA6428/BA6428@CB-5-1.jpg,https://image.obdesign.com.tw/catalog/products/BA6428/BA6428@CB-T4-A958EEA4B2A4FCB92D52.png
1,2022072550308393,DA9395,土黃,DA9395-2-S,https://image.obdesign.com.tw/catalog/products/DA9395/DA9395@1.jpg,https://image.obdesign.com.tw/catalog/products/DA9395/DA9395@CB-2-1.jpg,https://image.obdesign.com.tw/catalog/products/DA9395/DA9395@CB-T4-8EEC976613248EF955FB.png
1,2022072567926572,BA6823,深灰藍,BA6823-2-S,https://image.obdesign.com.tw/catalog/products/BA6823/BA6823@1.jpg,https://image.obdesign.com.tw/catalog/products/BA6823/BA6823@CB-2-1.jpg,https://image.obdesign.com.tw/catalog/products/BA6823/BA6823@CB-T4-850E7B5DB9247BF8BAB2.png
